median,log_freq
2.3128836294935573e+43,11.962
2.3582988003343764e+43,11.964
2.404091119312962e+43,11.966
2.4502632597093635e+43,11.968
2.4968179168194655e+43,11.97
2.543757802664291e+43,11.972
2.592528306283712e+43,11.974
2.642581040110229e+43,11.976
2.692185137950128e+43,11.978
2.738874492736205e+43,11.98
2.7859475886136377e+43,11.982
2.8337883153404563e+43,11.984
2.8836162385687716e+43,11.986
2.933854546360776e+43,11.988
2.9845062046554673e+43,11.99
3.0350175523884527e+43,11.992
3.077428016543337e+43,11.994
3.1207331502675227e+43,11.996
3.1723891822501595e+43,11.998
3.227676951138327e+43,12.0
3.28340679145782e+43,12.002
3.33976565410018e+43,12.004
3.399641560288933e+43,12.006
3.4615895843280303e+43,12.008
3.5240478677934016e+43,12.01
3.5870200378692994e+43,12.012
3.6505097495270606e+43,12.014
3.714520685817518e+43,12.016
3.781532249091288e+43,12.018
3.8468068376403345e+43,12.02
3.9117324088720175e+43,12.022
3.977190433363591e+43,12.024
4.043184772230056e+43,12.026
4.110950113624499e+43,12.028
4.180655697386864e+43,12.03
4.250933593579562e+43,12.032
4.3217879628626957e+43,12.034
4.3932229925807426e+43,12.036
4.465360577021094e+43,12.038
4.540740581853987e+43,12.04
4.616739605958776e+43,12.042
4.693362157564271e+43,12.044
4.770612782069244e+43,12.046
4.849335332236235e+43,12.048
4.9339237688811e+43,12.05
5.02062428269821e+43,12.052
5.108038569061647e+43,12.054
5.196171775205993e+43,12.056
5.28502908954541e+43,12.058
5.375375782804141e+43,12.06
5.461045626904668e+43,12.062
5.545270213879616e+43,12.064
5.630178022228931e+43,12.066
5.715774040740619e+43,12.068
5.802063306384099e+43,12.07
5.89332742327152e+43,12.072
5.990031246990342e+43,12.074
6.087528643270214e+43,12.076
6.185825455079689e+43,12.078
6.284927575044758e+43,12.08
6.386506087446778e+43,12.082
6.492368204274998e+43,12.084
6.599100947622612e+43,12.086
6.713396754080941e+43,12.088
6.824128333388028e+43,12.09
6.9355810303514e+43,12.092
7.045561121645666e+43,12.094
7.156883709439899e+43,12.096
7.272595298419033e+43,12.098
7.390960458310773e+43,12.1
7.518454937443994e+43,12.102
7.635892508944274e+43,12.104
7.756387201403445e+43,12.106
7.877867508647152e+43,12.108
8.018710164986894e+43,12.11
8.161650340578739e+43,12.112
8.303024449295487e+43,12.114
8.447805488825722e+43,12.116
8.593783404850194e+43,12.118
8.740966975904086e+43,12.12
8.854708777597294e+43,12.122
8.95964493156702e+43,12.124
9.06329058199931e+43,12.126
9.180005264873956e+43,12.128
9.311329568084608e+43,12.13
9.443720143996165e+43,12.132
9.57718512139531e+43,12.134
9.712066983984056e+43,12.136
9.849559878017084e+43,12.138
9.988169132355334e+43,12.14
1.012790330469083e+44,12.142
1.0268771033771098e+44,12.144
1.041078104800885e+44,12.146
1.0558229672744613e+44,12.148
1.0708296856152427e+44,12.15
1.0859585939249885e+44,12.152
1.1012106349886709e+44,12.154
1.1165867606334631e+44,12.156
1.132247656398588e+44,12.158
1.1483721382102292e+44,12.16
1.1646282038756107e+44,12.162
1.1810168736187547e+44,12.164
1.1975391783920477e+44,12.166
1.2141961591899995e+44,12.168
1.2314165238298758e+44,12.17
1.2488285113256974e+44,12.172
1.267917083181737e+44,12.174
1.287601499957032e+44,12.176
1.3074479331355095e+44,12.178
1.3278059247441941e+44,12.18
1.348734134158561e+44,12.182
1.3698350549149116e+44,12.184
1.3912741214563483e+44,12.186
1.4131318643085985e+44,12.188
1.435163037340873e+44,12.19
1.4571864246681445e+44,12.192
1.479442412404908e+44,12.194
1.5042340001665811e+44,12.196
1.5292306076428456e+44,12.198
1.5544337674842308e+44,12.2
1.5761133664017522e+44,12.202
1.5939422915311357e+44,12.204
1.6119099461044177e+44,12.206
1.6300173945053398e+44,12.208
1.6482657128921829e+44,12.21
1.6726827265860359e+44,12.212
1.7002605648272724e+44,12.214
1.7233214799580391e+44,12.216
1.7430761320163636e+44,12.218
1.7652378930699814e+44,12.22
1.7940540329947114e+44,12.222
1.824038543869411e+44,12.224
1.854583137842907e+44,12.226
1.8853781963422913e+44,12.228
1.9119128156772724e+44,12.23
1.9384757671569805e+44,12.232
1.965697418707448e+44,12.234
1.9888513909701943e+44,12.236
2.0052905914344374e+44,12.238
2.028743862355841e+44,12.24
2.05637428366345e+44,12.242
2.0842306450628935e+44,12.244
2.1132316271697554e+44,12.246
2.136875626636935e+44,12.248
2.154861902267934e+44,12.25
2.1729855731675775e+44,12.252
2.1990660360106828e+44,12.254
2.228049711048655e+44,12.256
2.257475093618637e+44,12.258
2.287140379845815e+44,12.26
2.317047490114795e+44,12.262
2.3475751174487734e+44,12.264
2.378499465961954e+44,12.266
2.4102297435519583e+44,12.268
2.4422205377298056e+44,12.27
2.474473962850638e+44,12.272
2.502034383545904e+44,12.274
2.5206835553767723e+44,12.276
2.5394132328758377e+44,12.278
2.570590561200398e+44,12.28
2.6023632473373524e+44,12.282
2.634395181510903e+44,12.284
2.6666885173653836e+44,12.286
2.699257528955748e+44,12.288
2.7321498925040627e+44,12.29
2.7653109046062165e+44,12.292
2.7987428199680372e+44,12.294
2.832447918428649e+44,12.296
2.8664285053565834e+44,12.298
2.8888340444332877e+44,12.3
2.910516591296606e+44,12.302
2.9330688578302e+44,12.304
2.9663199604525728e+44,12.306
3.002757161570561e+44,12.308
3.039749877118642e+44,12.31
3.0776006622493284e+44,12.312
3.1157651949923776e+44,12.314
