median,log_freq
2.6234728194128148e+42,11.712
2.673808155927825e+42,11.714
2.7246901897056653e+42,11.716
2.775999275696569e+42,11.718
2.8277385832580827e+42,11.72
2.879911308674814e+42,11.722
2.934005706777242e+42,11.724
2.9899659058178103e+42,11.726
3.0463961173761185e+42,11.728
3.1032998408651926e+42,11.73
3.160680592895817e+42,11.732
3.218862290525104e+42,11.734
3.281010304405933e+42,11.736
3.3436811941232776e+42,11.738
3.406878848310106e+42,11.74
3.470607188750104e+42,11.742
3.5348701707834554e+42,11.744
3.602268332865321e+42,11.746
3.671603280427742e+42,11.748
3.7415217260701093e+42,11.75
3.8120280181185815e+42,11.752
3.8831265421590296e+42,11.754
3.9557623271182324e+42,11.756
4.03234179588998e+42,11.758
4.109566402013707e+42,11.76
4.187440966243194e+42,11.762
4.2659703349707884e+42,11.764
4.3451594042239775e+42,11.766
4.428636660668956e+42,11.768
4.513774209802864e+42,11.77
4.5996289231129233e+42,11.772
4.6862061634429256e+42,11.774
4.7735113399650826e+42,11.776
4.864147995865787e+42,11.778
4.9601327407384185e+42,11.78
5.056928412342382e+42,11.782
5.154541071185708e+42,11.784
5.252976829922569e+42,11.786
5.352241853998736e+42,11.788
5.458991009746869e+42,11.79
5.567117583391261e+42,11.792
5.676158432777619e+42,11.794
5.786120389354066e+42,11.796
5.897010353313146e+42,11.798
6.012255966600462e+42,11.8
6.122909810477087e+42,11.802
6.229941801093716e+42,11.804
6.337846332042115e+42,11.806
6.446629508955399e+42,11.808
6.556670787969929e+42,11.81
6.672191664754705e+42,11.812
6.78865557526373e+42,11.814
6.906069125419998e+42,11.816
7.027403160140928e+42,11.818
7.166911414705314e+42,11.82
7.314080521982499e+42,11.822
7.466037635452961e+42,11.824
7.619241735481441e+42,11.826
7.773701083687844e+42,11.828
7.929424003903827e+42,11.83
8.088787870718512e+42,11.832
8.258015733356352e+42,11.834
8.405805987365127e+42,11.836
8.550119934560125e+42,11.838
8.695606541517183e+42,11.84
8.842274004049063e+42,11.842
8.994426194030468e+42,11.844
9.149013331187184e+42,11.846
9.304857214966197e+42,11.848
9.493715693176238e+42,11.85
9.68429619137373e+42,11.852
9.878661170032549e+42,11.854
1.0078692433539194e+43,11.856
1.0280373759426077e+43,11.858
1.0483716404738545e+43,11.86
1.0688731726775755e+43,11.862
1.089543115938509e+43,11.864
1.11122837660911e+43,11.866
1.1331614214604496e+43,11.868
1.1552748551323312e+43,11.87
1.177569911076839e+43,11.872
1.2000478338235747e+43,11.874
1.223387050012952e+43,11.876
1.2476103138917758e+43,11.878
1.272032904805211e+43,11.88
1.2966561863853e+43,11.882
1.321481531491118e+43,11.884
1.3466208467280432e+43,11.886
1.373681109874007e+43,11.888
1.4009644746850687e+43,11.89
1.428362553298085e+43,11.892
1.450187780349842e+43,11.894
1.4721881260241178e+43,11.896
1.4949137003569302e+43,11.898
1.5181433600077487e+43,11.9
1.541559962412788e+43,11.902
1.568669951415319e+43,11.904
1.5986548720947648e+43,11.906
1.6292701591015968e+43,11.908
1.6616408831348678e+43,11.91
1.6942836492507425e+43,11.912
1.727200453073855e+43,11.914
1.7603933066741273e+43,11.916
1.7938642387598886e+43,11.918
1.8291855575089716e+43,11.92
1.8652650681317212e+43,11.922
1.9016477020080155e+43,11.924
1.938335686879232e+43,11.926
1.975331268944081e+43,11.928
2.0135371246957266e+43,11.93
2.0537837439023613e+43,11.932
2.0943690627571932e+43,11.934
2.135295571371591e+43,11.936
2.1765657805868978e+43,11.938
2.2181822218905218e+43,11.94
2.2626695016744194e+43,11.942
2.307765080070059e+43,11.944
2.3532402137954005e+43,11.946
2.398346347666007e+43,11.948
2.44224940528383e+43,11.95
2.4876017581871773e+43,11.952
2.5345076871323986e+43,11.954
2.5818129342659885e+43,11.956
2.6295206107158417e+43,11.958
2.6776338571430355e+43,11.96
2.726263578898104e+43,11.962
2.777289989638667e+43,11.964
2.8287508883115213e+43,11.966
2.880649671622655e+43,11.968
2.9329897720821715e+43,11.97
2.985774648549171e+43,11.972
3.040366433885758e+43,11.974
3.0962496121573194e+43,11.976
3.15260841941277e+43,11.978
3.2094465945475092e+43,11.98
3.266767912677008e+43,11.982
3.325081637013838e+43,11.984
3.386005338356961e+43,11.986
3.448953371351696e+43,11.988
3.515442216037421e+43,11.99
3.58248271251781e+43,11.992
3.650078788425193e+43,11.994
3.721110565649777e+43,11.996
3.779323552262405e+43,11.998
3.8430413996631116e+43,12.0
3.9154086916446415e+43,12.002
3.9883703791875383e+43,12.004
4.063080406571438e+43,12.006
4.1406911148187375e+43,12.008
4.2189404864763866e+43,12.01
4.297832955601199e+43,12.012
4.3665514328495923e+43,12.014
4.4348994057726924e+43,12.016
4.505486735442254e+43,12.018
4.576831355171896e+43,12.02
4.64875217293247e+43,12.022
4.726561064042155e+43,12.024
4.809904800886901e+43,12.026
4.897578085604952e+43,12.028
4.988257612421204e+43,12.03
5.079687144998111e+43,12.032
5.171872051146946e+43,12.034
5.264817740007363e+43,12.036
5.358728264782952e+43,12.038
5.457888717097241e+43,12.04
5.557869605364223e+43,12.042
5.658676809467027e+43,12.044
5.760316255217738e+43,12.046
5.862793914855159e+43,12.048
5.969220517620126e+43,12.05
6.078490038483831e+43,12.052
6.188662963859995e+43,12.054
6.299745782026473e+43,12.056
6.411745032300081e+43,12.058
6.525722264394056e+43,12.06
6.645321069019428e+43,12.062
6.765909265749043e+43,12.064
6.887493971128588e+43,12.066
7.010082357344177e+43,12.068
7.133681653661158e+43,12.07
7.262914686379333e+43,12.072
7.394716252546233e+43,12.074
7.527607518440872e+43,12.076
7.661596339678414e+43,12.078
7.796690634348781e+43,12.08
7.935678299371442e+43,12.082
8.077482606908062e+43,12.084
8.213852592977358e+43,12.086
8.351335088688256e+43,12.088
8.489938021586904e+43,12.09
8.629669381026287e+43,12.092
8.77664573048244e+43,12.094
8.92552442637376e+43,12.096
9.075619154640505e+43,12.098
9.226938592556673e+43,12.1
9.364824706719945e+43,12.102
9.496265818253325e+43,12.104
9.629982898429101e+43,12.106
9.764769533636425e+43,12.108
9.900633571444115e+43,12.11
1.0037582927152539e+44,12.112
1.017551717096529e+44,12.114
1.0311891925444189e+44,12.116
1.045177929877222e+44,12.118
1.0622483928812794e+44,12.12
1.0787327127425622e+44,12.122
1.093409678928739e+44,12.124
1.108041407775058e+44,12.126
1.1226853761448273e+44,12.128
1.1374454744844505e+44,12.13
1.1523225609618985e+44,12.132
1.1673175027500281e+44,12.134
1.186596704453974e+44,12.136
1.20716354390351e+44,12.138
1.2273287112844082e+44,12.14
1.2381590238894869e+44,12.142
1.2490683598924967e+44,12.144
1.2662443491270818e+44,12.146
1.2868899132233013e+44,12.148
1.3079698882100341e+44,12.15
1.3292201974402775e+44,12.152
1.3506420337160223e+44,12.154
1.3722365987533464e+44,12.156
1.3894986178426102e+44,12.158
1.402236426319632e+44,12.16
1.415067821931379e+44,12.162
1.4390517139503887e+44,12.164
1.4644051513178389e+44,12.166
1.483452674297876e+44,12.168
1.507932658288487e+44,12.17
1.5354384992517995e+44,12.172
1.5631661387103261e+44,12.174
1.5911170382622248e+44,12.176
1.6192926683181437e+44,12.178
1.6484208824380292e+44,12.18
1.678622897104183e+44,12.182
1.7090686074205872e+44,12.184
1.7397596196957198e+44,12.186
1.7706975498765425e+44,12.188
1.8018977086132666e+44,12.19
1.8317300551893854e+44,12.192
1.8602281567795982e+44,12.194
1.888955405572097e+44,12.196
1.917913422034578e+44,12.198
1.9471038391870192e+44,12.2
1.9764136788876046e+44,12.202
2.005888837633052e+44,12.204
2.0355993657106422e+44,12.206
2.06554692398798e+44,12.208
2.095733186441324e+44,12.21
2.1263017642048953e+44,12.212
2.1577725710090495e+44,12.214
2.1878930491152673e+44,12.216
2.207162418932704e+44,12.218
2.226574360450419e+44,12.22
2.2461300173049444e+44,12.222
2.2730104912766965e+44,12.224
2.306312081662156e+44,12.226
2.3238199966411806e+44,12.228
2.341452039830529e+44,12.23
2.3592092291904395e+44,12.232
2.3771614554661515e+44,12.234
2.3953886640397043e+44,12.236
2.42434767742679e+44,12.238
2.445935471177766e+44,12.24
2.4856817758098293e+44,12.242
2.508405569793724e+44,12.244
2.5270299270716997e+44,12.246
2.557435565438512e+44,12.248
2.596176351080753e+44,12.25
2.6352370381857765e+44,12.252
2.674620107244605e+44,12.254
2.714786470699153e+44,12.256
2.7558213636099435e+44,12.258
2.7971954397117083e+44,12.26
2.838911339274771e+44,12.262
2.8815383021401367e+44,12.264
2.9262709150761608e+44,12.266
2.9713275517377216e+44,12.268
3.016752444517712e+44,12.27
3.0625483425051547e+44,12.272
3.1088505549277658e+44,12.274
3.1553994031148837e+44,12.276
3.2023524553291834e+44,12.278
3.2497043529860772e+44,12.28
3.2974417711385557e+44,12.282
3.3455676106795747e+44,12.284
3.384471453249453e+44,12.286
3.406717244300474e+44,12.288
3.450201599395581e+44,12.29
3.4797614030140183e+44,12.292
3.5064236305273273e+44,12.294
3.526646563735089e+44,12.296
3.5479154915918455e+44,12.298
3.577507043195393e+44,12.3
3.6084643199238645e+44,12.302
3.6627215028659746e+44,12.304
3.694613918218892e+44,12.306
3.72644299049424e+44,12.308
3.758549085579119e+44,12.31
3.803006040706522e+44,12.312
3.848409006781813e+44,12.314
3.894181878882127e+44,12.316
3.940327774934888e+44,12.318
3.985644332168984e+44,12.32
4.0341102909768876e+44,12.322
4.081802384448965e+44,12.324
4.129884089042771e+44,12.326
4.178358729567214e+44,12.328
4.221850579924192e+44,12.33
4.2765945569502604e+44,12.332
4.326475329069428e+44,12.334
4.3863720393218506e+44,12.336
4.447088389671635e+44,12.338
4.508313540640399e+44,12.34
4.570075149834248e+44,12.342
4.633131207701251e+44,12.344
